v,boiler,ng_meter_m3,boiler_steam_tons,feed_water_kl,hp_steam_tons,lp_steam_kg,soft_water_inlet_kl,soft_water_outlet_kl,ng_skid_converted,ng_skid_unconverted,cereal_condensate_ltr,da_makeup_tank_kl
01-09-2025,Boiler1,5275,287,315,330,70844,119,79,34928.84,8293,69540,281
02-09-2025,Boiler1,5219,287,307,338,70896,206,166,"37,076.39",8796,66330,284
03-09-2025,Boiler1,5082,272,294,373,60363,138,100,"38,241.08",9077,93750,290
04-09-2025,Boiler1,4000,219,234,215,77644,169,70,"25,678.35",6073,1140,235
05-09-2025,Boiler1,2754,153,163,149,48061,63,27,"11,358.45",2717,39180,162
06-09-2025,Boiler1,2455,135,154,132,54557,190,140,"10,232.37",2445,"19,650",151
07-09-2025,Boiler1,4122,230,249,227,53384,70,35,"18,705.86",4458,72510,242
08-09-2025,Boiler1,4575,247,266,245,36160,75,50,"25,767.65",6143,68430,264
09-09-2025,Boiler1,4735,256,279,256,37180,92,59,"24,095.97",5748,80280,282
10-09-2025,Boiler1,4790,258,276,257,39330,89,60,"25,596.86",6112,75720,273
11-09-2025,Boiler1,3399,187,206,186,54910,80,52,"19,627.08",4671,15750,196
12-09-2025,Boiler1,4508,244,264,243,44200,70,38,"23,750.14",5658,66180,267
13-09-2025,Boiler1,4638,255,272,257,42880,64,28,"25,175.11",5989,70410,270
14-09-2025,Boiler1,4296,232,252,228,38725,63,27,"21,134.81",5039,73890,249
15-09-2025,Boiler1,3434,190,206,187,44375,67,25,"14,141.09",3376,71460,201
16-09-2025,Boiler1,3400,188,204,184,30199,66,30,"13,737.14",3281,71130,206
17-09-2025,Boiler1,5139,284,310,299,60721,158,124,"26,782.53",6390,93510,318
18-09-2025,Boiler1,5063,283,304,310,"65,823",181,96,"28,198.01",6696,92250,256
19-09-2025,Boiler1,5399,298,323,320,64429,130,95,"31,336.14",7434,97620,232
20-09-2025,Boiler1,4908,270,293,296,57726,112,71,"24,798.79",5879,91560,216
21-09-2025,Boiler1,3927,216,233,225,52945,95,61,"19,605.95",4649,57840,174
22-09-2025,Boiler1,3728,206,225,215,11666,87,50,"23,135.22",5480,18420,212
23-09-2025,Boiler1,5082,272,294,373,60363,138,100,"38,241.08",9077,93750,290
24-09-2025,Boiler1,4918,266,286,375,63955,149,111,"38,959.73",9255,92940,321
25-09-2025,Boiler1,4959,268,289,320,59421,200,99,"33,766.98",8036,67230,275
26-09-2025,Boiler1,5049,277,302,322,68748,125,73,"33,967.15",8050,59850,275
27-09-2025,Boiler1,4775,258,288,258,41936,154,120,"25,186.09",5979,55530,217
28-09-2025,Boiler1,4340,242,251,259,74833,92,53,"33,164.38",7859,11160,261
29-09-2025,Boiler1,5128,281,300,347,67311,140,99,"36,185.20",8583,80610,279
30-09-2025,Boiler9,5550,306,331,334,64300,128,86,"35,537.91",8438,72570,271
01-10-2025,Boiler1,4785,256,282,289,78900,122,75,"32,489.45",7703,36870,276
02-10-2025,Boiler1,5460,300,324,319,77778,144,107,"36,524.09",8643,46320,280
03-10-2025,Boiler1,3686,203,225,199,57578,69,35,"20,618.02",4873,23730,199
